all_10,all_15,all_20,select_20,select_15,select_10
, 鄉民會, 電過,,,
, 弱智, 方陣營,,,
, 柯粉, 賤畜,,,
, 無腦女, 批批,,,
, 坐領, 佩珊,,,
, 笑死人, 暴文,,,
, 紅姨, 廢物,,,
, tony, 蔡挺,,,
, 母湯, 政晶,,,
, 專出, 臭酸宅,,,
, 宋粉, 謠老師,,,
, 渣滓, 覺青會,,,
, 鄭弘儀, 陰森,,,
, 狗娘, 上進,,,
, 賤種, 狗養,,,
, 蛆群, 腦包,,,
, 干五, 八家,,,
, httpsiimgurcomK8QoKQpjpg, 柯迷,,,
, 魯蛇, 是非不分,,,
, 廢材, 靈涼,,,
, 幹破, 版友,,,
, 出奶, 藍綠粉,,,
, 不死一死, 確更,,,
, 要領, 東然,,,
, 瘋子, 九點二,,,
, 沒腦子, 抽煙,,,
, ㄛ, 王八,,,
, 妓女, 比帶,,,
, 綠渣, 掛版,,,
, 科粉, 想立,,,
, 蠢蛋, 沒耿,,,
, 正晶, 夜店,,,
, 酸文, 老廢物,,,
, 拉基, 下賤,,,
, 低能, 能領,,,
, 抄抄, 偉哉,,,
, 廢成, 魯宅,,,
, 8+9, 領的,,,
, 蠢貨, 網友,,,
, 鄉民酸, 幹蓋,,,
, 溫拿, Wwwww,,,
, 錢啦, 嫉妒,,,
, 幹藍, 蛤,,,
, 訐, CenaC,,,
, 水軍, 狗屎,,,
, 人領, 比軍,,,
, 掛板, 臭宅,,,
, 紅姨會, 真該,,,
, 樓別, 混蛋,,,
, 科黑, 周玉蔻,,,
, 矮額, 宅,,,
, 支那, 方害,,,
, 汪汪叫, 會信,,,
, 共產黨國, 啃老族,,,
, 匪區, 專收,,,
, 豬腦, realcn,,,
, 歷台, allyours,,,
, 亂酸, 滯礙,,,
,, 下標,,,
,, 仇富,,,
,, UCCUXDDDD,,,
,, 魯肥宅,,,
,, superjim,,,
,, httpsiimgurcom77W3VlPjpg,,,
,, 幹二樓,,,
,, 官媒,,,
,, 保政,,,
,, 去死吧,,,
,, 王八蛋,,,
,, 陣頭,,,
,, 廢宅,,,
,, 查證,,,
,, Cock,,,
,, 綠黨工,,,
,, 抹黑,,,
,, 有人,,,
,, 黨動用,,,
,, 無腦,,,
,, 清者自清,,,
,, 閉嘴,,,
,, 署名,,,
,, 環時,,,
,, 蠢,,,
,, 可悲,,,
,, 綠媒,,,
,, 魯,,,
,, pu,,,
,, 工三小,,,
,, 貴國,,,
